Search,Tìm kiếm,
Search the docs,Tìm kiếm tài liệu,
Courses,Khóa học,
Batches,Lô
Statistics,Thống kê,
Jobs,Việc làm,
Edit Sidebar,Chỉnh sửa thanh bên,
No Contributions Made,Không có đóng góp nào được thực hiện,
Activity,Hoạt động,
How would you rate this page,Bạn đánh giá trang này như thế nào,
How can we make it better,Chúng tôi có thể cải thiện trang này như thế nào,
Enter your email if you would like to contribute to the docs,Nhập email của bạn nếu bạn muốn đóng góp cho tài liệu,
Submit,Gửi,
Page Settings,Cài đặt trang,
Route,Tuyến đường,
Hide on Sidebar,Ẩn trên thanh bên,
Update,Cập nhật,
Previous,Trước,
Next,Tiếp,
Title,Tiêu đề,
Enter title for the new Wiki Group,Nhập tiêu đề cho nhóm wiki mới,
Was this article helpful,Bài viết này có hữu ích không,
Give Feedback,Gửi phản hồi,
Edit Page,Chỉnh sửa trang,
New Page,Trang mới,
Revisions,Bản sửa đổi,
Page Settings,Cài đặt trang,
Previous Page,Trang trước,
Left,Trái,
Next Page,Trang tiếp theo,
Right,Phải,
Status,Trạng thái,
Message,Tin nhắn,
Last update on,Cập nhật lần cuối vào,
Link,Liên kết,
Open Contribution,Mở đóng góp,
More,Thêm,
My Contributions,Đóng góp của tôi,
Open Draft,Bản thảo mở,
No Drafts Made,Không có bản thảo nào được tạo,
My Drafts,Bản thảo của tôi,
View Sidebar,Xem thanh bên,
last updated,cập nhật lần cuối,
edited,đã chỉnh sửa,
No results found,Không tìm thấy kết quả nào,
